config_id,method,approach,nltk_baseline_threshold,spacy_baseline_model,spacy_train_model,spacy_train_n_iter,spacy_train_dropout,spacy_train_batch_size,nltk_train_tfidf_threshold,nltk_train_collocation_threshold,nltk_train_min_term_freq,filtering,filtering_case_sensitive,precision,recall,f1,tp,fp,fn
1,nltk,baseline,0.3,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,0.020647355316693993,0.753880266075388,0.040193876344721595,340,16127,111
2,nltk,baseline,0.3,NA,NA,NA,NA,NA,NA,NA,NA,True,False,0.020647355316693993,0.753880266075388,0.040193876344721595,340,16127,111
3,nltk,baseline,0.3,NA,NA,NA,NA,NA,NA,NA,NA,True,True,0.020647355316693993,0.753880266075388,0.040193876344721595,340,16127,111
4,nltk,baseline,0.5,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,0.023480662983425413,0.753880266075388,0.045542830352956934,340,14140,111
5,nltk,baseline,0.5,NA,NA,NA,NA,NA,NA,NA,NA,True,False,0.023480662983425413,0.753880266075388,0.045542830352956934,340,14140,111
6,nltk,baseline,0.5,NA,NA,NA,NA,NA,NA,NA,NA,True,True,0.023480662983425413,0.753880266075388,0.045542830352956934,340,14140,111
7,nltk,baseline,0.7,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,0.10713143588103613,0.7427937915742794,0.18725544997205143,335,2792,116
8,nltk,baseline,0.7,NA,NA,NA,NA,NA,NA,NA,NA,True,False,0.10713143588103613,0.7427937915742794,0.18725544997205143,335,2792,116
9,nltk,baseline,0.7,NA,NA,NA,NA,NA,NA,NA,NA,True,True,0.10713143588103613,0.7427937915742794,0.18725544997205143,335,2792,116
10,nltk,baseline,0.8,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,0.15990453460620524,0.7427937915742794,0.2631578947368421,335,1760,116
11,nltk,baseline,0.8,NA,NA,NA,NA,NA,NA,NA,NA,True,False,0.15990453460620524,0.7427937915742794,0.2631578947368421,335,1760,116
12,nltk,baseline,0.8,NA,NA,NA,NA,NA,NA,NA,NA,True,True,0.15990453460620524,0.7427937915742794,0.2631578947368421,335,1760,116
13,nltk,baseline,0.9,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,0.20820385332504662,0.7427937915742794,0.32524271844660196,335,1274,116
14,nltk,baseline,0.9,NA,NA,NA,NA,NA,NA,NA,NA,True,False,0.20820385332504662,0.7427937915742794,0.32524271844660196,335,1274,116
15,nltk,baseline,0.9,NA,NA,NA,NA,NA,NA,NA,NA,True,True,0.20820385332504662,0.7427937915742794,0.32524271844660196,335,1274,116
16,nltk,baseline,0.95,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,0.21795705920624595,0.7427937915742794,0.33702213279678067,335,1202,116
17,nltk,baseline,0.95,NA,NA,NA,NA,NA,NA,NA,NA,True,False,0.21795705920624595,0.7427937915742794,0.33702213279678067,335,1202,116
18,nltk,baseline,0.95,NA,NA,NA,NA,NA,NA,NA,NA,True,True,0.21795705920624595,0.7427937915742794,0.33702213279678067,335,1202,116
19,spacy,baseline,NA,it_core_news_sm,NA,NA,NA,NA,NA,NA,NA,False,NA,0.5015873015873016,0.35033259423503327,0.412532637075718,158,157,293
20,spacy,baseline,NA,it_core_news_sm,NA,NA,NA,NA,NA,NA,NA,True,False,0.5015873015873016,0.35033259423503327,0.412532637075718,158,157,293
21,spacy,baseline,NA,it_core_news_sm,NA,NA,NA,NA,NA,NA,NA,True,True,0.5015873015873016,0.35033259423503327,0.412532637075718,158,157,293
22,nltk,train,NA,NA,NA,NA,NA,NA,0.05,2.0,1,False,NA,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
23,nltk,train,NA,NA,NA,NA,NA,NA,0.05,2.0,1,True,False,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
24,nltk,train,NA,NA,NA,NA,NA,NA,0.05,2.0,1,True,True,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
25,nltk,train,NA,NA,NA,NA,NA,NA,0.1,2.5,2,False,NA,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
26,nltk,train,NA,NA,NA,NA,NA,NA,0.1,2.5,2,True,False,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
27,nltk,train,NA,NA,NA,NA,NA,NA,0.1,2.5,2,True,True,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
28,nltk,train,NA,NA,NA,NA,NA,NA,0.1,3.0,2,False,NA,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
29,nltk,train,NA,NA,NA,NA,NA,NA,0.1,3.0,2,True,False,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
30,nltk,train,NA,NA,NA,NA,NA,NA,0.1,3.0,2,True,True,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
31,nltk,train,NA,NA,NA,NA,NA,NA,0.15,3.5,2,False,NA,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
32,nltk,train,NA,NA,NA,NA,NA,NA,0.15,3.5,2,True,False,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
33,nltk,train,NA,NA,NA,NA,NA,NA,0.15,3.5,2,True,True,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
34,nltk,train,NA,NA,NA,NA,NA,NA,0.2,4.0,3,False,NA,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
35,nltk,train,NA,NA,NA,NA,NA,NA,0.2,4.0,3,True,False,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
36,nltk,train,NA,NA,NA,NA,NA,NA,0.2,4.0,3,True,True,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
37,nltk,train,NA,NA,NA,NA,NA,NA,0.3,5.0,3,False,NA,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
38,nltk,train,NA,NA,NA,NA,NA,NA,0.3,5.0,3,True,False,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
39,nltk,train,NA,NA,NA,NA,NA,NA,0.3,5.0,3,True,True,0.21981627296587927,0.7427937915742794,0.33924050632911396,335,1189,116
40,spacy,train,NA,NA,it_core_news_sm,10,0.1,4,NA,NA,NA,False,NA,0.5461254612546126,0.328159645232816,0.4099722991689751,148,123,303
41,spacy,train,NA,NA,it_core_news_sm,10,0.1,4,NA,NA,NA,True,False,0.7213114754098361,0.2926829268292683,0.416403785488959,132,51,319
42,spacy,train,NA,NA,it_core_news_sm,10,0.1,4,NA,NA,NA,True,True,0.7213114754098361,0.2926829268292683,0.416403785488959,132,51,319
43,spacy,train,NA,NA,it_core_news_sm,20,0.2,8,NA,NA,NA,False,NA,0.5084175084175084,0.3348115299334812,0.40374331550802145,151,146,300
44,spacy,train,NA,NA,it_core_news_sm,20,0.2,8,NA,NA,NA,True,False,0.7219251336898396,0.29933481152993346,0.4231974921630094,135,52,316
45,spacy,train,NA,NA,it_core_news_sm,20,0.2,8,NA,NA,NA,True,True,0.7219251336898396,0.29933481152993346,0.4231974921630094,135,52,316
46,spacy,train,NA,NA,it_core_news_sm,30,0.2,8,NA,NA,NA,False,NA,0.5568627450980392,0.3148558758314856,0.40226628895184136,142,113,309
47,spacy,train,NA,NA,it_core_news_sm,30,0.2,8,NA,NA,NA,True,False,0.7277777777777777,0.29046563192904656,0.4152139461172742,131,49,320
48,spacy,train,NA,NA,it_core_news_sm,30,0.2,8,NA,NA,NA,True,True,0.7277777777777777,0.29046563192904656,0.4152139461172742,131,49,320
49,spacy,train,NA,NA,it_core_news_sm,40,0.2,8,NA,NA,NA,False,NA,0.5772357723577236,0.3148558758314856,0.40746054519368724,142,104,309
50,spacy,train,NA,NA,it_core_news_sm,40,0.2,8,NA,NA,NA,True,False,0.7441860465116279,0.2838137472283814,0.4109149277688604,128,44,323
51,spacy,train,NA,NA,it_core_news_sm,40,0.2,8,NA,NA,NA,True,True,0.7441860465116279,0.2838137472283814,0.4109149277688604,128,44,323
